Date,Open,High,Low,Close,Adj Close,Volume
2022-10-04,1429.500000,1458.000000,1426.150024,1453.000000,1417.173950,5769263
2022-10-06,1459.949951,1462.599976,1434.199951,1437.000000,1401.568481,6274599
2022-10-07,1430.250000,1434.949951,1420.349976,1430.800049,1395.521240,6648997
2022-10-10,1408.000000,1426.000000,1398.199951,1415.000000,1380.110840,6554651
2022-10-11,1401.099976,1417.000000,1399.449951,1400.650024,1366.114746,7260810
2022-10-12,1403.199951,1414.849976,1397.300049,1409.800049,1375.039185,4612525
2022-10-13,1402.050049,1406.250000,1384.000000,1393.599976,1359.238525,7357117
2022-10-14,1417.000000,1447.000000,1415.250000,1439.000000,1403.519165,6424960
2022-10-17,1435.000000,1457.599976,1427.000000,1446.550049,1410.883057,9205250
2022-10-18,1458.050049,1462.900024,1440.000000,1443.849976,1408.249512,5280554
2022-10-19,1464.000000,1477.400024,1453.400024,1458.650024,1422.684692,6483520
2022-10-20,1444.000000,1452.900024,1442.500000,1448.800049,1413.077637,3949039
2022-10-21,1452.000000,1457.650024,1434.000000,1438.599976,1403.128906,5246303
2022-10-24,1454.300049,1463.000000,1454.300049,1461.050049,1425.025513,1083897
2022-10-25,1461.099976,1467.800049,1445.000000,1450.900024,1415.125732,6886697
2022-10-27,1464.500000,1467.349976,1451.250000,1454.400024,1418.539429,7968638
2022-10-28,1450.000000,1467.000000,1447.400024,1458.699951,1422.733276,5237139
2022-10-31,1472.000000,1498.000000,1467.250000,1496.699951,1459.796387,6415264
2022-11-01,1503.500000,1529.000000,1498.900024,1513.250000,1475.938477,9536878
2022-11-02,1517.000000,1528.250000,1511.599976,1514.199951,1476.864868,6360203
2022-11-03,1497.699951,1520.250000,1497.000000,1507.550049,1470.378906,5166176
2022-11-04,1503.199951,1516.099976,1489.599976,1497.150024,1460.235352,5409030
2022-11-07,1510.000000,1512.000000,1492.099976,1508.800049,1471.598145,4917917
2022-11-09,1515.050049,1517.949951,1504.000000,1508.349976,1471.159180,4634895
2022-11-10,1497.099976,1527.000000,1495.050049,1524.750000,1487.154785,6387091
2022-11-11,1545.000000,1637.000000,1538.000000,1611.150024,1571.424561,28361169
2022-11-14,1612.000000,1628.000000,1598.000000,1615.050049,1575.228271,9597695
2022-11-15,1623.150024,1623.150024,1605.250000,1619.000000,1579.080933,5515101
2022-11-16,1618.650024,1642.000000,1612.000000,1632.900024,1592.638184,6789075
2022-11-17,1618.099976,1631.550049,1613.900024,1618.150024,1578.251831,6050465
2022-11-18,1621.000000,1623.000000,1605.250000,1613.900024,1574.106689,5229616
2022-11-21,1607.650024,1612.000000,1590.199951,1597.349976,1557.964722,4172408
2022-11-22,1600.000000,1604.349976,1591.000000,1595.000000,1555.672729,4273157
2022-11-23,1605.000000,1605.000000,1594.000000,1599.150024,1559.720337,5092869
2022-11-24,1605.949951,1632.000000,1599.150024,1625.150024,1585.079224,8598980
2022-11-25,1629.699951,1631.699951,1614.099976,1617.650024,1577.764282,4205248
2022-11-28,1602.900024,1607.449951,1594.050049,1600.250000,1560.793213,8052990
2022-11-29,1597.250000,1612.349976,1592.849976,1597.849976,1558.452393,6319118
2022-11-30,1597.099976,1612.900024,1597.099976,1608.449951,1568.791016,7592403
2022-12-01,1622.000000,1637.000000,1615.000000,1619.500000,1579.568604,10223183
2022-12-02,1610.000000,1618.599976,1605.150024,1607.099976,1567.474365,3905539
2022-12-05,1609.949951,1614.599976,1596.199951,1612.949951,1573.180054,5796311
2022-12-06,1601.000000,1613.699951,1600.000000,1611.150024,1571.424561,6176546
2022-12-07,1614.150024,1618.599976,1604.449951,1610.449951,1570.741699,5837360
2022-12-08,1610.000000,1626.000000,1605.000000,1619.500000,1579.568604,7401817
2022-12-09,1626.000000,1634.849976,1620.000000,1631.050049,1590.833862,5981692
2022-12-12,1625.000000,1653.599976,1621.400024,1643.750000,1603.220703,7217404
2022-12-13,1650.000000,1657.000000,1645.000000,1648.300049,1607.658569,8515851
2022-12-14,1653.000000,1665.500000,1650.000000,1662.250000,1621.264526,7113820
2022-12-15,1657.050049,1669.400024,1627.050049,1631.800049,1591.565430,9091324
2022-12-16,1620.050049,1645.099976,1609.000000,1639.650024,1599.221680,7323979
2022-12-19,1644.000000,1646.650024,1626.199951,1644.750000,1604.196045,4802271
2022-12-20,1620.199951,1636.400024,1620.199951,1633.400024,1593.125854,3587349
2022-12-21,1641.000000,1644.800049,1606.550049,1617.599976,1577.715454,4634599
2022-12-22,1622.199951,1627.500000,1609.000000,1612.050049,1572.302368,4873548
2022-12-23,1587.000000,1604.150024,1585.449951,1597.650024,1558.257324,5346576
2022-12-26,1599.500000,1639.000000,1590.000000,1629.449951,1589.273193,4953661
2022-12-27,1633.000000,1635.949951,1613.500000,1631.099976,1590.882568,3963386
2022-12-28,1623.099976,1633.000000,1623.099976,1629.800049,1589.614624,4345935
2022-12-29,1620.099976,1643.500000,1611.000000,1641.300049,1600.831055,5506448
2022-12-30,1645.000000,1645.000000,1620.000000,1628.150024,1588.005371,3561320
2023-01-02,1627.000000,1639.750000,1618.550049,1628.699951,1588.541748,2190689
2023-01-03,1622.199951,1643.000000,1622.199951,1639.349976,1598.929077,4189015
2023-01-04,1635.000000,1645.750000,1607.000000,1610.050049,1570.351685,5175800
2023-01-05,1615.000000,1618.050049,1589.400024,1599.699951,1560.256714,5470718
2023-01-06,1602.000000,1609.099976,1578.199951,1594.400024,1555.087524,4546231
2023-01-09,1596.000000,1611.550049,1590.000000,1597.500000,1558.110962,5364670
2023-01-10,1600.000000,1600.000000,1565.000000,1568.300049,1529.630981,8185883
2023-01-11,1567.949951,1598.000000,1560.000000,1590.900024,1551.673706,7597899
2023-01-12,1587.800049,1603.900024,1584.150024,1599.400024,1559.964233,4625035
2023-01-13,1598.750000,1609.900024,1586.000000,1600.650024,1561.183472,4622273
2023-01-16,1615.000000,1621.300049,1580.300049,1585.300049,1546.211914,7374047
2023-01-17,1589.800049,1611.000000,1577.500000,1608.900024,1569.229980,5393177
2023-01-18,1605.000000,1641.599976,1599.699951,1637.300049,1596.929810,9545321
2023-01-19,1637.000000,1650.000000,1633.000000,1644.099976,1603.562012,5586081
2023-01-20,1644.099976,1669.000000,1643.400024,1660.949951,1619.996460,9421702
2023-01-23,1666.250000,1682.599976,1661.400024,1673.099976,1631.847046,7722200
2023-01-24,1675.050049,1702.400024,1675.000000,1695.500000,1653.694702,12491970
2023-01-25,1691.400024,1692.949951,1645.300049,1648.650024,1607.999878,7352071
2023-01-27,1632.000000,1637.000000,1589.949951,1615.800049,1575.959961,17589974
2023-01-30,1595.000000,1625.300049,1582.000000,1614.150024,1574.350586,9256411
2023-01-31,1619.699951,1622.699951,1595.000000,1603.500000,1563.963135,9298122
2023-02-01,1624.000000,1665.000000,1606.000000,1627.550049,1587.420166,8651395
2023-02-02,1608.099976,1624.500000,1588.750000,1603.349976,1563.816772,8748553
2023-02-03,1611.000000,1660.500000,1607.000000,1658.800049,1617.899658,7205550
2023-02-06,1660.000000,1669.400024,1646.199951,1651.750000,1611.023438,5583836
2023-02-07,1659.400024,1664.900024,1632.599976,1654.199951,1613.412964,5132294
2023-02-08,1654.250000,1668.199951,1650.000000,1654.000000,1613.218018,4222413
2023-02-09,1660.000000,1661.650024,1635.550049,1650.550049,1609.853027,5888668
2023-02-10,1648.800049,1658.500000,1642.199951,1657.099976,1616.241577,4086058
2023-02-13,1655.000000,1661.750000,1644.550049,1658.349976,1617.460693,2868472
2023-02-14,1665.000000,1677.500000,1657.949951,1673.699951,1632.432129,5454296
2023-02-15,1678.000000,1678.000000,1656.750000,1670.300049,1629.116089,5719356
2023-02-16,1673.199951,1681.900024,1661.000000,1664.250000,1623.215210,4031250
2023-02-17,1661.000000,1668.150024,1642.949951,1655.900024,1615.071045,4478135
2023-02-20,1660.000000,1669.449951,1634.800049,1640.349976,1599.904419,4043353
2023-02-21,1640.000000,1662.349976,1634.000000,1646.500000,1605.902832,6194648
2023-02-22,1639.000000,1641.949951,1609.050049,1614.199951,1574.399170,5179551
2023-02-23,1613.000000,1618.849976,1592.099976,1603.250000,1563.719238,13941005
2023-02-24,1617.900024,1617.900024,1585.199951,1588.949951,1549.771851,8530870
2023-02-27,1585.900024,1599.000000,1577.300049,1592.900024,1553.624512,7156486
2023-02-28,1592.000000,1605.300049,1588.699951,1599.599976,1560.159180,9496996
