"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Apr-2024","EQ","2,430.00","2,471.35","2,410.00","2,462.55","2,430.00","2,437.70","2,436.93","27,693.00","2,409.10","18,51,012","4,51,07,90,082.80","1,75,483"
"18-Apr-2024","EQ","2,540.10","2,542.65","2,410.60","2,546.10","2,471.00","2,462.55","2,464.54","27,693.00","2,409.10","30,38,833","7,48,93,23,134.85","2,34,686"
"16-Apr-2024","EQ","2,550.15","2,583.65","2,542.30","2,553.65","2,548.00","2,546.10","2,558.77","27,693.00","2,409.10","7,68,861","1,96,73,40,072.90","59,207"
"15-Apr-2024","EQ","2,510.00","2,577.00","2,510.00","2,536.20","2,557.15","2,553.65","2,555.38","27,693.00","2,409.10","11,46,823","2,93,05,65,235.85","70,196"
"12-Apr-2024","EQ","2,534.70","2,559.00","2,516.20","2,527.60","2,532.90","2,536.20","2,541.27","27,693.00","2,409.10","12,39,965","3,15,10,84,406.10","1,00,776"
"10-Apr-2024","EQ","2,514.00","2,533.00","2,494.05","2,502.80","2,525.60","2,527.60","2,517.81","27,693.00","2,409.10","4,94,880","1,24,60,15,304.75","48,186"
"09-Apr-2024","EQ","2,506.00","2,522.20","2,497.00","2,498.05","2,506.80","2,502.80","2,505.95","27,693.00","2,409.10","4,33,941","1,08,74,35,313.90","41,455"
"08-Apr-2024","EQ","2,531.00","2,547.25","2,492.85","2,537.65","2,499.90","2,498.05","2,509.03","27,693.00","2,409.10","12,18,490","3,05,72,32,811.20","83,699"
"05-Apr-2024","EQ","2,575.00","2,576.00","2,534.00","2,549.60","2,539.00","2,537.65","2,550.34","27,693.00","2,409.10","7,66,227","1,95,41,36,339.50","68,464"
"04-Apr-2024","EQ","2,569.80","2,570.00","2,514.10","2,553.95","2,551.00","2,549.60","2,541.60","27,693.00","2,409.10","13,91,376","3,53,63,19,236.95","1,19,729"
"03-Apr-2024","EQ","2,623.30","2,623.95","2,545.00","2,623.30","2,555.00","2,553.95","2,556.71","27,693.00","2,409.10","19,25,139","4,92,20,12,565.35","1,01,107"
"02-Apr-2024","EQ","2,597.00","2,630.00","2,583.00","2,585.60","2,622.00","2,623.30","2,613.71","27,693.00","2,409.10","7,22,883","1,88,94,03,895.95","56,142"
"01-Apr-2024","EQ","2,622.35","2,642.60","2,582.50","2,622.35","2,589.45","2,585.60","2,599.65","27,693.00","2,409.10","7,43,032","1,93,16,24,375.00","55,287"
"28-Mar-2024","EQ","2,567.05","2,638.70","2,567.05","2,566.45","2,630.95","2,622.35","2,613.90","27,693.00","2,409.10","21,82,916","5,70,59,32,891.80","1,52,663"
"27-Mar-2024","EQ","2,586.10","2,590.55","2,551.75","2,586.10","2,570.00","2,566.45","2,565.56","27,693.00","2,409.10","9,00,596","2,31,05,34,020.30","70,923"
"26-Mar-2024","EQ","2,568.00","2,596.50","2,532.15","2,573.40","2,590.20","2,586.10","2,583.39","27,693.00","2,409.10","9,70,852","2,50,80,87,635.35","68,934"
"22-Mar-2024","EQ","2,540.20","2,592.00","2,537.00","2,553.65","2,566.00","2,573.40","2,562.57","27,693.00","2,409.10","10,13,563","2,59,73,27,308.55","1,19,033"
"21-Mar-2024","EQ","2,551.00","2,562.05","2,525.15","2,550.25","2,545.75","2,553.65","2,544.72","27,693.00","2,409.10","9,03,877","2,30,01,14,740.75","96,312"
"20-Mar-2024","EQ","2,514.00","2,555.00","2,498.05","2,496.05","2,550.45","2,550.25","2,538.25","27,693.00","2,409.10","6,99,645","1,77,58,76,167.55","63,999"
"19-Mar-2024","EQ","2,580.00","2,584.75","2,468.15","2,580.35","2,503.05","2,496.05","2,502.03","27,693.00","2,409.10","17,48,864","4,37,57,03,529.85","1,26,925"
"18-Mar-2024","EQ","2,603.65","2,610.80","2,558.75","2,603.65","2,583.85","2,580.35","2,580.47","27,693.00","2,409.10","6,42,596","1,65,82,01,669.50","46,929"
"15-Mar-2024","EQ","2,616.95","2,629.90","2,585.20","2,612.75","2,598.25","2,603.65","2,604.56","27,693.00","2,409.10","12,66,992","3,29,99,61,808.50","92,521"
"14-Mar-2024","EQ","2,590.00","2,619.95","2,573.90","2,582.95","2,610.00","2,612.75","2,600.48","27,693.00","2,409.10","11,22,997","2,92,03,32,123.95","1,15,387"
"13-Mar-2024","EQ","2,594.95","2,653.65","2,552.85","2,590.15","2,582.00","2,582.95","2,606.23","27,693.00","2,409.10","18,13,802","4,72,71,91,903.45","1,53,473"
"12-Mar-2024","EQ","2,606.05","2,615.05","2,566.30","2,611.50","2,595.00","2,590.15","2,584.27","27,693.00","2,409.10","8,63,235","2,23,08,30,069.90","83,860"
"11-Mar-2024","EQ","2,560.95","2,631.00","2,548.55","2,560.95","2,610.00","2,611.50","2,606.13","27,693.00","2,409.10","14,95,299","3,89,69,49,886.25","1,17,465"
"07-Mar-2024","EQ","2,530.00","2,566.00","2,519.00","2,533.05","2,557.00","2,560.95","2,548.58","27,693.00","2,409.10","6,48,652","1,65,31,39,172.75","82,037"
"06-Mar-2024","EQ","2,540.00","2,566.75","2,508.25","2,538.65","2,534.55","2,533.05","2,530.14","27,693.00","2,409.10","9,91,640","2,50,89,90,201.00","1,14,843"
"05-Mar-2024","EQ","2,590.00","2,595.20","2,532.00","2,589.10","2,536.50","2,538.65","2,555.36","27,693.00","2,409.10","3,39,302","86,70,40,114.35","59,741"
"04-Mar-2024","EQ","2,594.90","2,601.10","2,577.40","2,594.90","2,587.90","2,589.10","2,591.08","27,693.00","2,409.10","6,34,310","1,64,35,49,789.05","50,358"
"02-Mar-2024","EQ","2,601.45","2,609.40","2,585.40","2,601.45","2,590.00","2,594.90","2,595.80","27,693.00","2,409.10","25,525","6,62,57,683.10","3,616"
"01-Mar-2024","EQ","2,596.20","2,616.55","2,582.50","2,596.20","2,600.00","2,601.45","2,604.87","27,693.00","2,409.10","7,55,728","1,96,85,74,114.30","72,063"
"29-Feb-2024","EQ","2,571.45","2,606.20","2,547.05","2,570.90","2,599.00","2,596.20","2,589.41","27,693.00","2,409.10","13,87,288","3,59,22,61,264.75","84,427"
"28-Feb-2024","EQ","2,601.00","2,605.00","2,560.25","2,598.70","2,560.25","2,570.90","2,581.55","27,693.00","2,409.10","4,92,787","1,27,21,53,804.25","43,496"
