"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Aug-2023","EQ","621.80","626.50","618.60","620.50","619.45","620.20","622.70","665.40","375.20","85,34,395","5,31,43,60,611.05","1,19,046"
"21-Aug-2023","EQ","617.00","623.30","614.80","615.80","619.50","620.50","620.41","665.40","375.20","95,80,365","5,94,37,23,319.55","1,60,367"
"18-Aug-2023","EQ","612.80","620.10","610.90","613.75","613.20","615.80","615.76","665.40","375.20","1,11,90,760","6,89,08,62,422.10","1,91,535"
"17-Aug-2023","EQ","620.00","622.00","611.00","618.75","613.35","613.75","614.99","665.40","375.20","1,21,19,293","7,45,32,54,415.40","1,96,731"
"16-Aug-2023","EQ","606.70","621.35","597.30","607.35","617.80","618.75","610.75","665.40","375.20","1,45,62,074","8,89,37,46,444.75","2,18,419"
"14-Aug-2023","EQ","612.00","612.00","594.50","611.80","606.80","607.35","602.18","665.40","375.20","1,44,92,164","8,72,68,74,255.65","3,28,524"
"11-Aug-2023","EQ","619.75","624.75","610.00","618.25","611.90","611.80","616.76","665.40","375.20","93,47,707","5,76,52,64,757.15","1,72,588"
"10-Aug-2023","EQ","623.00","628.30","598.00","622.55","617.50","618.25","605.43","665.40","375.20","5,31,16,980","32,15,86,84,030.15","2,79,839"
"09-Aug-2023","EQ","610.60","624.00","605.35","607.30","623.50","622.55","614.69","665.40","375.20","1,33,62,350","8,21,37,13,920.75","1,90,843"
"08-Aug-2023","EQ","612.55","614.75","605.25","609.50","607.95","607.30","609.23","665.40","375.20","88,63,640","5,40,00,17,786.55","2,00,799"
"07-Aug-2023","EQ","619.00","619.00","608.50","615.00","610.00","609.50","611.74","665.40","375.20","98,93,466","6,05,22,70,883.65","1,84,528"
"04-Aug-2023","EQ","624.85","625.00","613.30","618.95","615.80","615.00","617.24","665.40","375.20","1,18,06,739","7,28,75,61,209.60","2,03,649"
"03-Aug-2023","EQ","623.00","626.45","614.15","622.65","619.80","618.95","620.10","665.40","375.20","1,14,58,920","7,10,57,32,473.20","1,88,647"
"02-Aug-2023","EQ","644.00","644.30","616.45","643.65","623.00","622.65","626.67","665.40","375.20","1,57,62,687","9,87,80,76,233.55","2,75,002"
"01-Aug-2023","EQ","645.00","652.90","642.00","644.30","642.90","643.65","647.67","665.40","375.20","89,24,219","5,77,99,68,945.75","1,70,823"
"31-Jul-2023","EQ","640.20","645.55","635.90","635.30","644.30","644.30","642.98","665.40","375.20","75,02,361","4,82,38,37,741.50","1,72,623"
"28-Jul-2023","EQ","646.00","646.00","631.80","643.70","635.85","635.30","636.11","665.40","375.20","92,99,530","5,91,55,66,105.65","1,68,753"
"27-Jul-2023","EQ","647.00","648.45","636.75","641.10","646.00","643.70","643.67","665.40","375.20","1,16,96,851","7,52,89,22,145.50","2,19,355"
