"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"05-Sep-2022","EQ","459.75","463.95","457.00","461.75","460.10","459.00","460.37","536.70","290.90",9378108,"4,317,406,706.90",102371
"02-Sep-2022","EQ","470.85","471.80","460.15","466.90","461.35","461.75","465.22","536.70","286.10",10806707,"5,027,461,125.45",124725
"01-Sep-2022","EQ","462.50","474.40","462.15","471.10","466.90","466.90","468.63","536.70","286.10",13385159,"6,272,627,719.90",171729
"30-Aug-2022","EQ","458.65","472.40","457.10","453.35","470.40","471.10","466.89","536.70","286.10",14421066,"6,733,015,047.25",145625
"29-Aug-2022","EQ","451.00","456.90","450.15","465.05","454.15","453.35","453.65","536.70","286.10",11647725,"5,283,983,489.05",197293
"26-Aug-2022","EQ","465.00","470.45","463.95","459.20","464.45","465.05","466.97","536.70","268.45",11252560,"5,254,569,001.65",127120
"25-Aug-2022","EQ","466.00","468.80","457.40","463.20","459.65","459.20","463.92","536.70","268.45",11255809,"5,221,831,280.20",114733
"24-Aug-2022","EQ","459.00","464.90","457.70","460.45","463.00","463.20","461.54","536.70","268.45",12214113,"5,637,357,620.45",131380
"23-Aug-2022","EQ","449.00","462.10","447.60","454.60","461.20","460.45","455.03","536.70","268.45",17779238,"8,090,109,755.70",201138
"22-Aug-2022","EQ","468.50","468.95","452.55","471.00","453.55","454.60","460.44","536.70","268.45",15050653,"6,929,995,709.85",197616
"19-Aug-2022","EQ","486.75","488.10","468.10","484.80","471.00","471.00","476.10","536.70","268.45",16636593,"7,920,676,699.05",191324
"18-Aug-2022","EQ","484.00","486.80","479.25","485.40","484.90","484.80","483.56","536.70","268.45",12070974,"5,837,075,699.20",129347
"17-Aug-2022","EQ","490.90","494.40","484.20","489.85","484.65","485.40","489.16","536.70","268.45",15948755,"7,801,492,590.90",202083
"16-Aug-2022","EQ","479.60","491.40","478.20","477.55","490.50","489.85","484.77","536.70","268.45",16796376,"8,142,311,048.25",168451
"12-Aug-2022","EQ","475.75","481.45","470.00","476.65","476.70","477.55","477.41","536.70","268.45",13482890,"6,436,887,448.75",146342
"11-Aug-2022","EQ","482.55","485.00","475.60","475.55","475.75","476.65","479.65","536.70","268.45",12777503,"6,128,728,397.65",136148
"10-Aug-2022","EQ","470.00","477.20","463.35","468.25","475.90","475.55","470.12","536.70","268.45",13360759,"6,281,198,084.50",149880
"08-Aug-2022","EQ","466.00","471.90","464.45","465.25","468.00","468.25","468.27","536.70","268.45",10561754,"4,945,716,455.45",120623
"05-Aug-2022","EQ","468.90","472.90","464.00","468.90","464.70","465.25","468.48","536.70","268.45",11917799,"5,583,229,115.80",131947
"04-Aug-2022","EQ","473.15","473.95","456.45","467.80","466.70","468.90","465.82","536.70","268.45",18540405,"8,636,444,624.95",175295
"03-Aug-2022","EQ","475.00","476.25","459.60","476.25","467.05","467.80","466.29","536.70","268.45",19125906,"8,918,153,301.30",207995
"02-Aug-2022","EQ","478.90","479.90","469.25","479.20","474.95","476.25","475.15","536.70","268.45",19065689,"9,059,144,445.55",216324
"01-Aug-2022","EQ","451.95","481.00","451.05","449.60","480.05","479.20","469.99","536.70","268.45",43084536,"20,249,120,487.80",393644
"29-Jul-2022","EQ","445.15","452.70","445.15","442.25","449.25","449.60","449.23","536.70","268.45",16004096,"7,189,530,425.20",159128
"28-Jul-2022","EQ","440.25","449.25","427.40","444.05","442.55","442.25","439.27","536.70","268.45",36380444,"15,980,776,527.90",349031
"27-Jul-2022","EQ","441.15","445.00","436.10","441.15","443.75","444.05","442.15","536.70","268.45",10081023,"4,457,325,201.15",121524
"26-Jul-2022","EQ","448.70","448.70","439.75","449.55","440.70","441.15","442.95","536.70","268.45",11563528,"5,122,115,641.75",135822
"25-Jul-2022","EQ","456.00","457.60","446.30","454.90","449.35","449.55","451.38","536.70","268.45",12505062,"5,644,509,435.40",179333
"22-Jul-2022","EQ","456.60","459.95","452.30","454.85","454.25","454.90","455.86","536.70","268.45",10340910,"4,714,001,688.60",130269
"21-Jul-2022","EQ","452.95","455.50","450.10","453.45","454.00","454.85","453.61","536.70","268.45",10931800,"4,958,795,042.00",135559
"20-Jul-2022","EQ","454.35","460.75","451.75","449.05","452.75","453.45","456.93","536.70","268.45",17154184,"7,838,259,628.55",163862
"19-Jul-2022","EQ","446.75","451.85","444.45","450.90","448.65","449.05","448.47","536.70","268.45",11553440,"5,181,360,424.70",126256
"18-Jul-2022","EQ","443.95","453.80","443.20","440.20","450.50","450.90","449.21","536.70","268.45",21185764,"9,516,800,250.10",237488
"15-Jul-2022","EQ","430.65","441.75","429.70","428.05","438.80","440.20","435.74","536.70","268.45",15774084,"6,873,408,749.85",162715
"14-Jul-2022","EQ","428.00","431.25","423.30","427.10","428.00","428.05","427.46","536.70","268.45",10744547,"4,592,850,403.05",110920
"13-Jul-2022","EQ","432.70","435.85","425.65","430.55","427.90","427.10","429.90","536.70","268.45",10181698,"4,377,089,483.35",115660
"12-Jul-2022","EQ","433.00","435.00","428.15","437.05","428.35","430.55","432.15","536.70","268.45",9518822,"4,113,572,430.90",101623
"11-Jul-2022","EQ","438.05","441.20","433.45","441.55","435.80","437.05","437.22","536.70","268.45",12621150,"5,518,219,647.65",138171
"08-Jul-2022","EQ","436.25","443.85","429.30","430.85","440.50","441.55","437.50","536.70","268.45",23730027,"10,381,822,008.35",231534
"07-Jul-2022","EQ","419.90","432.95","419.30","416.35","431.75","430.85","425.08","536.70","268.45",17616800,"7,488,533,814.20",158392
"06-Jul-2022","EQ","414.00","417.30","410.65","412.00","417.10","416.35","414.33","536.70","268.45",12196920,"5,053,571,432.90",124260
"05-Jul-2022","EQ","415.00","418.80","410.20","408.45","412.35","412.00","415.27","536.70","268.45",16771012,"6,964,415,187.65",181870
"04-Jul-2022","EQ","411.55","414.90","405.00","412.70","407.60","408.45","408.48","536.70","268.45",11525133,"4,707,772,092.40",146366
"01-Jul-2022","EQ","410.65","414.60","402.30","411.80","413.70","412.70","407.31","536.70","268.45",14725989,"5,998,037,365.50",155707
"30-Jun-2022","EQ","418.30","424.00","410.00","416.95","411.00","411.80","416.96","536.70","268.45",20121916,"8,389,957,278.55",200888
"29-Jun-2022","EQ","412.05","419.90","411.55","417.10","416.00","416.95","417.25","536.70","268.45",13104313,"5,467,812,648.20",192310
"28-Jun-2022","EQ","411.30","418.20","409.15","414.50","417.70","417.10","415.00","536.70","268.45",13238339,"5,493,950,694.35",141548
"27-Jun-2022","EQ","417.55","419.45","412.35","409.30","413.00","414.50","415.85","536.70","268.45",12018949,"4,998,036,071.55",142406
"24-Jun-2022","EQ","410.00","412.85","406.15","407.20","408.75","409.30","409.69","536.70","268.45",14806456,"6,066,054,580.25",168066
